project,c_hash,date,msg
groovy,ed86e844f9d5562d2572f9c4403aa52299f5943a,2020-09-20 10:27:18+10:00,trim analysis slightly for sonarqube since we are using the free tier and we currently time out before 50min limit is reached
groovy,ab9c1e4c079453a76cc089a530cca3bca2e25ed3,2020-09-20 10:30:54+10:00,trim analysis slightly for sonarqube since we are using the free tier and we currently time out before 50min limit is reached
groovy,1a654fc214c6da0acec8b8596911cd1d1faff730,2020-10-21 08:10:02+08:00,"Skip sonar scanning for now

```
> Task :sonarqube FAILED
FAILURE: Build failed with an exception.
* What went wrong:
Execution failed for task ':sonarqube'.
> File src/test/groovy/MethodInBadPositionTest.groovy can't be indexed twice. Please check that inclusion/exclusion patterns produce disjoint sets for main and test files
```"
groovy,4cbaec4dd65329570887ba4218438c8bcbe4483f,2021-04-09 11:49:29+03:00,"GROOVY-9649: Sonar refactoring

- NumberRange: Extracted nested ternary operations of hasNext into independent statements
- NumberRange: Inverted if-condition in fetchNextIfNeeded to reduce its cognitive complexity"
groovy,7dac3e7aea61a24922b6c44b17e7897c47be996c,2021-04-09 12:16:18+03:00,"GROOVY-9649: Sonar refactoring

Avoid NPE by not using a Boolean as an expression"
groovy,8aa8cbab344362025288910d9b86cc270cbb7063,2021-04-09 12:49:37+03:00,"GROOVY-9649: Sonar refactoring

Refactor getInclusive and toString ternary operations"
hadoop-ozone,e350aef67eec15437032ab713ae3d882c2bff61c,2019-11-14 22:07:31+05:18,HDDS-2478. Sonar : remove temporary variable in XceiverClientGrpc sendCommand (#165)
hadoop-ozone,49dbb188358f9ed2551f03556ceba03b96bd4a86,2019-11-14 22:11:59+05:18,HDDS-2480. Sonar : remove log spam for exceptions inside XceiverClientGrpc reconnect (#170)
hadoop-ozone,287b32235c4feedf9c668f1cd078be931e65752d,2019-11-14 22:19:07+05:18,HDDS-2479. Sonar : replace instanceof with catch block in XceiverClientGrpc sendCommandWithRetry (#168)
hadoop-ozone,d0fd848eb9a85da9b4e93eec2ee92a8b1eb4d662,2019-11-14 09:20:54-08:00,HDDS-2473. Fix code reliability issues found by Sonar in Ozone Recon module. (#162)
hadoop-ozone,37dc306f26bacf33c35ad11cff68f87a5b11e81f,2019-11-15 00:11:33-05:00,HDDS-2494 Sonar BigDecimal Cleanup (#175)
hadoop-ozone,52648825f11fb4970f27fbd9953016f1bdcfe67a,2019-11-15 14:35:23+01:00,"HDDS-2495. Sonar - ""notify"" may not wake up the appropriate thread

Closes #176"
hadoop-ozone,2f94fec2c93001fb1bf8b334b5e46d3f574db51f,2019-11-15 13:02:01-06:00,Fix sonar warnings in HddsUtils (#184)
hadoop-ozone,6fd2ef0159e71f62abdddaaee3b36fdbff411862,2019-11-15 16:10:02-08:00,HDDS-2511. Fix Sonar issues in OzoneManagerServiceProviderImpl. (#188)
